Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,FURIA,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,FURIA,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,FURIA,jett,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,FURIA,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,FURIA,kayo,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,LEVIATÁN,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,LEVIATÁN,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,LEVIATÁN,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,LEVIATÁN,harbor,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,FURIA,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,FURIA,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,FURIA,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,FURIA,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,FURIA,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,LEVIATÁN,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,LEVIATÁN,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,FURIA,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,FURIA,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,FURIA,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,FURIA,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,FURIA,killjoy,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,LEVIATÁN,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,LEVIATÁN,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,LEVIATÁN,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,G2 Esports,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,G2 Esports,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,G2 Esports,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,100 Thieves,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,100 Thieves,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,100 Thieves,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,100 Thieves,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,100 Thieves,chamber,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,G2 Esports,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,G2 Esports,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,G2 Esports,raze,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,100 Thieves,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,100 Thieves,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,100 Thieves,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,100 Thieves,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,100 Thieves,cypher,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,MIBR,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,MIBR,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,MIBR,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,MIBR,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,MIBR,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,LEVIATÁN,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,LEVIATÁN,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,MIBR,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,MIBR,brimstone,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,MIBR,jett,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,MIBR,skye,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,MIBR,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,LEVIATÁN,brimstone,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,LEVIATÁN,breach,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,LEVIATÁN,tejo,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,LEVIATÁN,waylay,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,MIBR,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,MIBR,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,MIBR,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,MIBR,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,MIBR,sage,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,LEVIATÁN,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,LEVIATÁN,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,KRÜ Esports,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,KRÜ Esports,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,KRÜ Esports,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,KRÜ Esports,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,KRÜ Esports,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,G2 Esports,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,G2 Esports,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,G2 Esports,raze,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,KRÜ Esports,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,KRÜ Esports,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,KRÜ Esports,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,KRÜ Esports,harbor,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,KRÜ Esports,kayo,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,G2 Esports,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,G2 Esports,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,G2 Esports,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,G2 Esports,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,LEVIATÁN,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,LEVIATÁN,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,G2 Esports,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,G2 Esports,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,G2 Esports,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,G2 Esports,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,G2 Esports,yoru,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,LEVIATÁN,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,LEVIATÁN,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,LEVIATÁN,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,LEVIATÁN,chamber,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,G2 Esports,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,G2 Esports,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,G2 Esports,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,LEVIATÁN,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,LEVIATÁN,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,G2 Esports,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,G2 Esports,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,G2 Esports,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,G2 Esports,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,G2 Esports,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,LEVIATÁN,brimstone,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,LEVIATÁN,waylay,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,LEVIATÁN,tejo,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,LEVIATÁN,breach,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,G2 Esports,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,G2 Esports,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,G2 Esports,brimstone,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,G2 Esports,sage,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,LEVIATÁN,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,LEVIATÁN,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,LEVIATÁN,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,G2 Esports,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,G2 Esports,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,G2 Esports,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,G2 Esports,chamber,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,G2 Esports,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,LEVIATÁN,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,LEVIATÁN,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,LEVIATÁN,chamber,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,LEVIATÁN,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,LEVIATÁN,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,G2 Esports,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,G2 Esports,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,G2 Esports,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,G2 Esports,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,G2 Esports,yoru,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,LEVIATÁN,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,LEVIATÁN,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,LEVIATÁN,chamber,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,LEVIATÁN,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,G2 Esports,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,G2 Esports,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,G2 Esports,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,LEVIATÁN,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,LEVIATÁN,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,LEVIATÁN,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,LEVIATÁN,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,LEVIATÁN,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,G2 Esports,astra,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,G2 Esports,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,G2 Esports,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,G2 Esports,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,G2 Esports,raze,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,FURIA,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,FURIA,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,FURIA,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,FURIA,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,FURIA,vyse,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,Mega Minors,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,Mega Minors,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,Mega Minors,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,Mega Minors,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,Mega Minors,vyse,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,FURIA,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,FURIA,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,FURIA,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,FURIA,cypher,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,FURIA,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,Mega Minors,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,Mega Minors,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,Mega Minors,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,Mega Minors,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,Mega Minors,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,100 Thieves,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,100 Thieves,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,100 Thieves,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,100 Thieves,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,100 Thieves,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,LOUD,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,LOUD,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,LOUD,harbor,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,LOUD,kayo,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,LOUD,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,100 Thieves,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,100 Thieves,raze,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,100 Thieves,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,100 Thieves,skye,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,100 Thieves,sage,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,LOUD,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,LOUD,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,LOUD,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,LOUD,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,LOUD,skye,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,KRÜ Esports,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,KRÜ Esports,harbor,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,KRÜ Esports,sova,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,KRÜ Esports,kayo,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,KRÜ Esports,viper,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,Mega Minors,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,Mega Minors,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,Mega Minors,jett,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,Mega Minors,kayo,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,Mega Minors,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,MIBR,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,MIBR,harbor,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,MIBR,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,MIBR,skye,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,MIBR,astra,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,100 Thieves,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,100 Thieves,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,100 Thieves,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,100 Thieves,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,100 Thieves,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,KRÜ Esports,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,KRÜ Esports,cypher,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,KRÜ Esports,phoenix,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,KRÜ Esports,omen,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,KRÜ Esports,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,Mega Minors,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,Mega Minors,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,Mega Minors,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,Mega Minors,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,Mega Minors,omen,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,MIBR,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,MIBR,cypher,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,MIBR,jett,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,MIBR,brimstone,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,MIBR,skye,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,100 Thieves,neon,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,100 Thieves,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,100 Thieves,brimstone,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,100 Thieves,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,100 Thieves,raze,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,Mega Minors,cypher,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,Mega Minors,phoenix,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,Mega Minors,fade,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,Mega Minors,brimstone,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,Mega Minors,waylay,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,100 Thieves,cypher,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,100 Thieves,neon,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,100 Thieves,fade,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,100 Thieves,brimstone,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,100 Thieves,raze,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,Mega Minors,sova,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,Mega Minors,harbor,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,Mega Minors,viper,1,0,1
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,Mega Minors,jett,1,0,1
